timestamp,kmax_rate,tkrs_rate,recap_rate
1477966200,0.4286,0.3889,0.5652
1477966500,0.3659,0.4444,0.625
1477966800,0.3429,0.4571,0.68
1477967100,0.4054,0.5714,0.75
1477967400,0.4286,0.5429,0.6957
1477967700,0.4054,0.4186,0.625
1477968000,0.2727,0.5122,0.68
1477968300,0.2632,0.525,0.68
1477968600,0.2632,0.3947,0.6429
1477968900,0.2037,0.4524,0.7407
1477969200,0.1897,0.4286,0.5172
1477969500,0.2222,0.5128,0.6154
1477969800,0.2683,0.5429,0.6429
1477970100,0.4667,0.5625,0.6
1477970400,0.4194,0.5484,0.68
1477970700,0.359,0.4848,0.68
1477971000,0.3714,0.5294,0.6154
1477971300,0.3077,0.4242,0.8261
1477971600,0.2,0.381,0.7407
1477971900,0.2837,0.425,0.7143
1477972200,0.2475,0.35,0.6667
1477972500,0.2857,0.4857,0.4615
1477972800,0.4146,0.5405,0.5172
1477973100,0.3333,0.4118,0.5385
1477973400,0.2273,0.3659,0.6333
1477973700,0.1628,0.5,0.5926
1477974000,0.2571,0.5588,0.625
1477974300,0.375,0.5455,0.6364
1477974600,0.4242,0.4857,0.7143
1477974900,0.6207,0.5625,0.6957
1477975200,0.64,0.5172,0.8182
1477975500,0.4667,0.4571,0.88
1477975800,0.3514,0.4483,0.68
1477976100,0.3043,0.5897,0.5926
1477976400,0.1765,0.4348,0.6333
1477976700,0.1754,0.439,0.7407
1477977000,0.2,0.5135,0.7308
