start_time,update_triggerd_insert,update_triggered_delete,count
1477929600,3103,3179,44
1477930200,6740,6926,90
1477930800,7408,7556,122
1477931400,6238,6440,100
1477932000,7223,7496,121
1477932600,8859,9162,111
1477933200,6958,7141,73
1477933800,6652,6794,77
1477934400,5294,5455,64
1477935000,5217,5398,59
1477935600,3524,3609,59
1477936200,8211,8506,80
1477936800,5541,5739,61
1477937400,2890,2986,33
1477938000,3161,3251,33
1477938600,3459,3552,35
1477939200,4386,4476,41
1477939800,4768,4823,41
1477940400,2595,2620,31
1477941000,3183,3219,24
1477941600,2853,2898,29
1477942200,1803,1843,22
1477942800,2202,2224,24
1477943400,5948,6037,39
1477944000,3621,3673,20
1477944600,4188,4234,39
1477945200,4716,4784,20
1477945800,2831,2893,17
1477946400,2695,2737,19
1477947000,1959,1982,20
1477947600,3394,3435,32
1477948200,2569,2609,17
1477948800,1523,1546,15
1477949400,3121,3173,23
1477950000,2774,2806,34
1477950600,2206,2227,29
1477951200,2586,2618,22
1477951800,4736,4753,39
1477952400,7840,7900,49
1477953000,7458,7545,42
1477953600,4426,4477,52
1477954200,11916,11995,85
1477954800,7660,7719,70
1477955400,15922,16015,114
1477956000,24328,24686,169
1477956600,28093,28521,176
1477957200,43059,43419,248
1477957800,44724,45273,250
1477958400,41155,41454,194
1477959000,38741,38999,199
1477959600,35155,35573,200
1477960200,47549,48299,227
1477960800,53951,54823,257
1477961400,106934,108578,337
1477962000,52607,53106,251
1477962600,50235,50630,273
1477963200,51330,51776,298
1477963800,52262,52841,293
1477964400,71092,71975,368
1477965000,85982,86871,375
1477965600,55825,56298,272
1477966200,56702,57269,262
1477966800,51203,51836,273
1477967400,64563,65044,301
1477968000,88258,89141,361
1477968600,105604,106563,371
1477969200,55265,55761,222
1477969800,55133,55390,242
1477970400,49263,49533,227
1477971000,65715,65953,275
1477971600,74672,74821,327
1477972200,91578,91614,338
1477972800,66911,66911,253
1477973400,51919,51919,242
1477974000,50035,50035,234
1477974600,52552,52552,253
1477975200,71839,71839,317
1477975800,111079,111079,383
1477976400,52079,52079,241
1477977000,46983,46983,247
1477977600,47970,47970,280
1477978200,64269,64269,310
1477978800,81987,81987,384
1477979400,132191,132191,471
1477980000,76539,76539,326
1477980600,56058,56058,296
1477981200,61506,61506,301
1477981800,80202,80202,338
1477982400,82246,82246,358
1477983000,133526,133526,429
1477983600,62554,62554,267
1477984200,57261,57261,257
1477984800,49452,49452,256
1477985400,60694,60694,273
1477986000,85878,85878,327
1477986600,104987,104987,399
1477987200,66489,66489,285
1477987800,62352,62352,263
1477988400,49978,49978,241
1477989000,63983,63983,283
1477989600,83206,83206,370
1477990200,86174,86174,357
1477990800,59704,59704,271
1477991400,55893,55893,256
1477992000,57248,57248,276
1477992600,66359,66359,323
1477993200,85993,85993,396
1477993800,90276,90276,338
1477994400,59750,59750,266
1477995000,72268,72268,302
1477995600,57115,57115,242
1477996200,66671,66671,294
1477996800,75247,75247,337
1477997400,82831,82831,312
1477998000,54484,54484,245
1477998600,69269,69269,319
1477999200,53562,53562,246
1477999800,56205,56205,260
1478000400,56784,56784,281
1478001000,76932,76932,325
1478001600,47099,47099,232
1478002200,36155,36155,197
1478002800,43464,43464,245
1478003400,43272,43272,242
1478004000,42733,42733,275
1478004600,59124,59124,285
1478005200,39226,39226,215
1478005800,37837,37837,228
1478006400,40811,40811,223
1478007000,41178,41178,246
1478007600,43490,43490,249
1478008200,58527,58527,299
1478008800,32836,32836,200
1478009400,28824,28824,208
1478010000,22646,22646,172
1478010600,26444,26444,189
1478011200,26128,26128,193
1478011800,32939,32939,220
1478012400,23220,23220,149
1478013000,19761,19761,133
1478013600,19218,19218,126
1478014200,17424,17424,127
1478014800,13392,13392,107
1478015400,8293,8293,68
