ID,start_time,end_time,longitude,latitude,update_times,k,utilization_ratio,reevaluation_times,average_cost
liDntl6IHF0mpz8jsjfCgow9JIH2qpv0,1477887637.0,1478060437.0,104.0893239,30.6626003,1002,3,0.6766467065868264,2,0.007051695637802729
ufBqym5Gzu.gdIclnjgJtArbFFJ9toB5,1477894427.0,1478067227.0,104.0705850,30.6672277,3982,3,0.21898543445504773,4,0.008658764607075176
vkIhrw2GKB4fry.rroqMiqu@HEEbphwa,1477911369.0,1478084169.0,104.0685248,30.6661834,1440,3,0.48333333333333334,23,0.007216806382833359
weIonk4OIu7riz_jswqzktj_LKJ0qiC-,1477915160.0,1478087960.0,104.0694373,30.6525490,6196,3,0.14460942543576502,7,0.0181571331931539
wtykAuaNGvanfD7mCxhAgvu8JEx-nsD6,1477919051.0,1478091851.0,104.0794895,30.6704563,204,3,0.11764705882352941,33,0.010682355530340882
jfHjro2MMw1iqy5pqqgGiyp4CAz.isI9,1477919623.0,1478092423.0,104.0899012,30.6712008,2040,3,0.42549019607843136,2,0.008154804755559228
kjGoop1CBA3oizbqCpmHspw9OFAbonJc,1477920535.0,1478093335.0,104.0808192,30.6621508,220,3,0.3181818181818182,2,0.005210455327125435
ntGmmq5AHE_frFbkvkoNgor9KCy6lkH5,1477921605.0,1478094405.0,104.0702933,30.6591583,6172,3,0.16850291639662995,2,0.009238447612833548
xlBfzp7BFy4rjy1lnrgMnxn.AEH3liA4,1477921614.0,1478094414.0,104.0867600,30.6651235,13666,3,0.059417532562564025,3,0.02306456835278073
qqNsAq5AJx.qox8rujiHjxn4OLz0mix5,1477921658.0,1478094458.0,104.0747050,30.6532597,1412,3,0.3101983002832861,2,0.006882294462716718
llDjtrbODG3inE8gpieHsAq.NCA2jnu7,1477922077.0,1478094877.0,104.0662596,30.6658784,206,3,0.34951456310679613,29,0.006425242760281974
tnCpmi5JDv-rnz6mqqeFjzv-KLF6nku8,1477922359.0,1478095159.0,104.0662325,30.6694879,8948,3,0.07532409476978096,2,0.021208804861588715
tlMlqt2zNI6qnwclnmeKtstaELAajfG-,1477923480.0,1478096280.0,104.0771764,30.6652525,13330,3,0.10397599399849962,3,0.04886579214241034
xqKmzv_NND.tfv3hxpjLjzv8zJEblsza,1477926087.0,1478098887.0,104.0649720,30.6608920,466,3,0.13304721030042918,38,0.010523174653557238
srEjms6NJBalhx6otxkykzp5AFx9jkD4,1477926174.0,1478098974.0,104.0626497,30.6639486,656,3,0.6798780487804879,33,0.0063975610651030405
nfFnrn_EMx7olG-cxsiNhAo7BFv6rpD0,1477928347.0,1478101147.0,104.0896027,30.6541927,366,3,0.546448087431694,45,0.007025956982858682
njElxj-zFA8mnx4qxwjHnwm0BID2pmEa,1477928356.0,1478101156.0,104.0681460,30.6646194,184,3,0.17391304347826086,43,0.006221739053928657
voLmvq5HEB1srE1hnneDhmqaCAC.jeA-,1477929226.0,1478102026.0,104.0771764,30.6652525,7414,3,0.05907742109522525,8,0.01969131407631189
oeKpwu2MBwbgrA8cAmnBusx1CBE_hgE_,1477929607.0,1478102407.0,104.0719969,30.6538930,1408,3,0.4900568181818182,18,0.08155660456891796
xfEfss3HEE6nkz7rsrsMpsp8AJz7nkD6,1477929807.0,1478102607.0,104.0662596,30.6658784,178,3,0.9325842696629213,35,0.008252249203957198
ijGhrv_FKu9fpJ4eBwpDrxn.zMFbhkGa,1477930198.0,1478102998.0,104.0733693,30.6560249,1602,3,0.28714107365792757,4,0.007254369802524181
nlGqlx5MHI5omH6rzosKfsx0zFH5klw8,1477930363.0,1478103163.0,104.0872423,30.6552907,548,3,0.1978021978021978,29,0.005147626252171931
mpFhAo6GJz_ffwahqntAmrs8BKI9hdJ6,1477931037.0,1478103837.0,104.0920493,30.6581129,296,3,0.5743243243243243,36,0.0067121623401731455
klGulm9NAA7jkz-luopIqov@OKuafjv7,1477931829.0,1478104629.0,104.0764651,30.6621432,1011,3,0.6297029702970297,19,0.0073670610093671
kjAivj0BJJbqkDbdnweCtxtaNMuckqB8,1477932648.0,1478105448.0,104.0693456,30.6524299,1352,3,0.0962962962962963,15,0.012533578363153532
jfIhpibzNv7hdE8juqnyoxtaEMA_gfC2,1477933005.0,1478105805.0,104.0799464,30.6565407,3868,3,0.10812209001551992,10,0.11422492342451135
usyips4EOA.pqz2ipnsGlml9KEw8lrHc,1477933196.0,1478105996.0,104.0812377,30.6522183,451,3,0.06666666666666667,1,0.00967893299301818
vgBhwt@KMz8ohx3qoilAjqn3LNB6kjB.,1477934460.0,1478107260.0,104.0733689,30.6712689,4636,3,0.15968925334484246,1,0.008920837859474477
sfAtvr9KDyblku-nqttHuml_BBx.eqI0,1477936597.0,1478109397.0,104.0702933,30.6591583,242,3,0.2975206611570248,3,0.005898762192223067
xsLmAn-MNJ7qsF3mowfyfAu8OFG-plA8,1477937753.0,1478110553.0,104.0769567,30.6629704,7008,3,0.094,7,0.01915114175992886
jfIrsn5EDF6srBcgpktDmnq2GIAasqJ1,1477939969.0,1478112769.0,104.0868094,30.6605860,570,3,0.1649122807017544,22,0.005190524276705426
wmNlot3zLBaopA7jBjgBnAt9MLI_rhEa,1477940496.0,1478113296.0,104.0748281,30.6667995,208,3,0.7788461538461539,37,0.008094231956280194
vszutx3FCw8fjCcfuimLnAlbHHIbslB5,1477942706.0,1478115506.0,104.0712822,30.6550718,216,3,0.48148148148148145,32,0.0068754641149469
okznmibINFclqJ-gutnCfso4FBz_hpy1,1477942756.0,1478115556.0,104.0774781,30.6637865,1524,3,0.08661417322834646,3,0.012685955374372091
mnynyw.AzE8qoH1rotkAqyx0CIzalqD0,1477942976.0,1478115776.0,104.0712822,30.6550718,924,3,0.05411255411255411,8,0.010031603908698474
tjDtqq0IND3piI0jxmmGhmt6JIG7imE0,1477943012.0,1478115812.0,104.0896027,30.6541927,2012,3,0.1172962226640159,2,0.014020077385208302
mnCgzkbKMJcndH-oBleKqwx3HAz6krw0,1477943883.0,1478116683.0,104.0847498,30.6615722,865,3,0.6759259259259259,14,0.006690983407500851
ujGinu8JFy5kry1invrJfxtaAAu1nmJ4,1477944297.0,1478117097.0,104.0710751,30.6611009,320,3,0.73125,31,0.00738968956284225
riDtzt_BJF7tjzbnyvfMpts0Ozz9roy7,1477944420.0,1478117220.0,104.0810186,30.6580650,396,3,0.06060606060606061,31,0.010704546120262356
nkBspj8OOF8rgC-juopCjwn3BLB3mkyc,1477944708.0,1478117508.0,104.0808192,30.6621508,1436,3,0.2841225626740947,8,0.006568941868475863
vsKqAw6ICv-nkF3pxslGrzv9KEz-phwc,1477944727.0,1478117527.0,104.0769567,30.6629704,447,3,0.7085201793721974,24,0.00688657805248595
khylslaMDv4nrIbntvjDjmi_BHDcqnu4,1477949300.0,1478122100.0,104.0791921,30.6666717,12967,3,0.12374633544206141,2,0.024374535665610705
ofCpzt2AMx_ijG5cpqkCnww2FCEcnox4,1477950743.0,1478123543.0,104.0842097,30.6606917,170,3,0.1411764705882353,28,0.011998821762116517
noNfyw0AzFbtmw1fultFiut8EEw5rnz2,1477950836.0,1478123636.0,104.0760870,30.6603688,254,3,0.10236220472440945,33,0.01112913289364046
loIstxaLCJbgeG9mwxhFtpl.JNB-ojD4,1477950940.0,1478123740.0,104.0747050,30.6532597,580,3,0.07931034482758621,4,0.010808272656567138
wgFltl9AOI1gjvclAppBpxu4KME7hlG-,1477951164.0,1478123964.0,104.0792757,30.6531260,366,3,0.8360655737704918,31,0.007356282913945412
vkItwn4LFH6klD8cpvlymor1LAubheH0,1477951884.0,1478124684.0,104.0790089,30.6525224,6254,3,0.1944977607165707,2,0.009256236108933101
viyopq4EMzbopA6oplmJhom1HIJ0mmz5,1477954778.0,1478127578.0,104.0873526,30.6687212,387,3,0.21761658031088082,1,0.0055030996620039
rqHlvr4BHF4rev3nsnfGfzi0CCw9iiG_,1477955129.0,1478127929.0,104.0625261,30.6624425,197,3,0.29591836734693877,32,0.0063883226960519245
nszouw5OBA8fmE9evqfDsti-GKD4fsvb,1477955256.0,1478128056.0,104.0664771,30.6548869,564,3,0.20567375886524822,23,0.005443262783414189
lkyqrvaHMu1jrB0kBogztor5DKvarmJ_,1477955693.0,1478128493.0,104.0810186,30.6580650,3930,3,0.17482161060142712,2,0.008171246403060455
tnDjvp3BOIcljC9htmfCrrtbzHu1mnF6,1477958207.0,1478131007.0,104.0747050,30.6532597,4024,3,0.20717131474103587,2,0.00867363301031273
jfBuwv9LKI.geC-fvnpAqxiaGDw1qqv4,1477958683.0,1478131483.0,104.0799145,30.6605251,861,3,0.053488372093023255,14,0.010216031975299985
jtHgvp.MEE8rlI7myjmGlxp4GNB1gqw8,1477958948.0,1478131748.0,104.0717077,30.6652913,182,3,0.6923076923076923,36,0.008370331040798472
sfHkwvaHFA6jmH4eppoMqtj.FGH8rsu9,1477959682.0,1478132482.0,104.0800496,30.6545166,569,3,0.053003533568904596,21,0.010308260441821572
iqEhtvaGGz_lsBceCxeyirm2BCH9hrC_,1477961277.0,1478134077.0,104.0674967,30.6562044,332,3,0.25301204819277107,26,0.0056195781490462554
tsGfmi4FFw9nou-oniiNimw9IKy6rlB_,1477963552.0,1478136352.0,104.0759776,30.6547911,178,3,0.4044943820224719,36,0.007340450067428893
