timestamp,count,type_T,type_F
1477966200,71069,26183,44886
1477966500,70522,20966,49556
1477966800,65379,16872,48507
1477967100,64996,21665,43331
1477967400,61119,21687,39432
1477967700,70443,23481,46962
1477968000,73487,12670,60817
1477968300,77418,13662,63756
1477968600,85157,15027,70130
1477968900,98092,13732,84360
1477969200,100852,13073,87779
1477969500,80743,11816,68927
1477969800,72666,13747,58919
1477970100,68985,26532,42453
1477970400,68061,22687,45374
1477970700,67745,19355,48390
1477971000,67461,19585,47876
1477971300,66733,15253,51480
1477971600,79007,10305,68702
1477971900,78812,8756,70056
1477972200,88486,10055,78431
1477972500,91046,20232,70814
1477972800,92969,32664,60305
1477973100,84223,21055,63168
1477973400,88568,13285,75283
1477973700,75568,5812,69756
1477974000,73669,11882,61787
1477974300,66167,18904,47263
1477974600,63256,21812,41444
1477974900,61576,34482,27094
1477975200,57836,33049,24787
1477975500,66097,25421,40676
1477975800,75227,20516,54711
1477976100,86748,20654,66094
1477976400,109742,13717,96025
1477976700,92659,10489,82170
1477977000,83425,10881,72544
