timestamp,count,type_T,type_F
1477966200,48626,7480,41146
1477966500,49556,11436,38120
1477966800,52725,12654,40071
1477967100,49239,19695,29544
1477967400,49289,17744,31545
1477967700,70443,17077,53366
1477968000,78555,27874,50681
1477968300,68310,25047,43263
1477968600,70129,12523,57606
1477968900,62778,17656,45122
1477969200,59764,14941,44823
1477969500,57110,19693,37417
1477969800,49098,17675,31423
1477970100,58371,21226,37145
1477970400,52936,17645,35291
1477970700,44518,11613,32905
1477971000,52227,17409,34818
1477971300,43853,7626,36227
1477971600,54961,10305,44656
1477971900,52541,12259,40282
1477972200,60331,8044,52287
1477972500,50581,14162,36419
1477972800,67842,25126,42716
1477973100,63167,10527,52640
1477973400,68640,11071,57569
1477973700,42628,11625,31003
1477974000,57034,21387,35647
1477974300,54351,18904,35447
1477974600,54531,15268,39263
1477974900,54186,19704,34482
1477975200,52327,13770,38557
1477975500,63554,15253,48301
1477975800,43312,6838,36474
1477976100,59897,26850,33047
1477976400,61729,17147,44582
1477976700,54196,13986,40210
1477977000,48966,16322,32644
