timestamp,count,type_T,type_F
1477966200,24313,5610,18703
1477966500,26684,9530,17154
1477966800,31635,14763,16872
1477967100,27574,15756,11818
1477967400,25630,11829,13801
1477967700,29884,10673,19211
1477968000,38010,17738,20272
1477968300,34155,15939,18216
1477968600,45083,20036,25047
1477968900,33351,19618,13733
1477969200,35484,9338,26146
1477969500,31509,11816,19693
1477969800,35351,15711,19640
1477970100,39799,13266,26533
1477970400,37811,17645,20166
1477970700,29033,13549,15484
1477971000,34818,13056,21762
1477971300,24786,17159,7627
1477971600,29198,17175,12023
1477971900,31524,17513,14011
1477972200,34187,16088,18099
1477972500,32371,4046,28325
1477972800,47740,12563,35177
1477973100,42111,10527,31584
1477973400,44284,19927,24357
1477973700,32939,11625,21314
1477974000,33269,11882,21387
1477974300,28357,9452,18905
1477974600,23993,10906,13087
1477974900,32019,14778,17241
1477975200,33049,22032,11017
1477975500,38132,30506,7626
1477975800,34194,15957,18237
1477976100,35112,12392,22720
1477976400,34294,15432,18862
1477976700,29720,17482,12238
1477977000,29017,16322,12695
